域名	解析IP	开放端口	WEB服务器	网站状态
mail.tencent.com	14.17.35.165	-	端口未开放	端口未开放
group.tencent.com	0.0.0.1	-	端口未开放	端口未开放
mobile.tencent.com	0.0.0.1	-	端口未开放	端口未开放
mi.tencent.com	111.230.196.217	80	nginx/1.6.3	80:(502) 错误的网关
open.tencent.com	223.166.150.154,140.207.62.34	80,443	nginx	80:正常访问
js.tencent.com	0.0.0.1	-	端口未开放	端口未开放
id.tencent.com	58.251.100.24	80,443	获取失败	80:-
alpha.tencent.com	0.0.0.1	-	端口未开放	端口未开放
test.tencent.com	220.194.95.153	80,443	stgw/1.3.6.2_1.13.5	80:正常访问
yu.tencent.com	0.0.0.1	-	端口未开放	端口未开放
yunpan.tencent.com	183.3.226.51	80,443	获取失败	80:-
video.tencent.com	0.0.0.1	-	端口未开放	端口未开放
rom.tencent.com	163.177.73.175,163.177.73.176,163.177.73.178,163.177.73.162	80,443	获取失败	80:-
plus.tencent.com	183.232.96.114,183.232.91.102	80,443	nginx	80:(404) 未找到
ads.tencent.com	163.177.68.205	80,443	nginx	80:正常访问
sec.tencent.com	58.251.82.192	80,443	Apache	80:正常访问
ad.tencent.com	163.177.68.205	80,443	nginx	80:正常访问
mm.tencent.com	183.3.226.51	80,443	获取失败	80:-
aq.tencent.com	111.161.64.30,111.161.64.31	80,443	nginx	80:正常访问
anquan.tencent.com	111.161.64.31,111.161.64.30	80,443	nginx	80:正常访问
wiki.tencent.com	0.0.0.1	-	端口未开放	端口未开放
php.tencent.com	0.0.0.1	-	端口未开放	端口未开放
git.tencent.com	119.29.123.177	-	端口未开放	端口未开放
an.tencent.com	0.0.0.1	-	端口未开放	端口未开放
ars.tencent.com	0.0.0.1	-	端口未开放	端口未开放
cert.tencent.com	0.0.0.1	-	端口未开放	端口未开放
att.tencent.com	172.23.128.115	-	端口未开放	端口未开放
meeting.tencent.com	111.161.64.22	80,443		80:正常访问
developers.tencent.com	58.251.81.26	80,443	nginx	80:正常访问
dev.tencent.com	115.159.21.113	80,443	获取失败	80:-
design.tencent.com	125.39.83.117	80,443	Apache	80:正常访问
exchange.tencent.com	0.0.0.1	-	端口未开放	端口未开放
gg.tencent.com	0.0.0.1	-	端口未开放	端口未开放
im.tencent.com	0.0.0.1	-	端口未开放	端口未开放
is.tencent.com	0.0.0.1	-	端口未开放	端口未开放
km.tencent.com	58.251.81.26	80,443	nginx/1.10.1	80:正常访问
lc.tencent.com	0.0.0.1	-	端口未开放	端口未开放
it.tencent.com	111.230.153.133	443		443:正常访问
games.tencent.com	184.105.164.76	-	端口未开放	端口未开放
mercury.tencent.com	58.251.100.44	80,443	nginx/1.8.0	80:正常访问
media.tencent.com	59.37.96.241	80,443	nginx	80:(403) 已禁止
net.tencent.com	0.0.0.1	-	端口未开放	端口未开放
network.tencent.com	0.0.0.1	-	端口未开放	端口未开放
