域名	解析IP	开放端口	WEB服务器	网站状态
android-update.wps.cn	54.88.47.12	-	端口未开放	端口未开放
jiaoyu.wps.cn	120.92.3.103	80	Apache/2.4.9 (Unix)	80:正常访问
login1.wps.cn	114.112.66.156	80	KSOWS	80:(403) 已禁止
m.news.wps.cn	123.59.11.202	80,443	nginx	80:正常访问
minisite.wps.cn	114.112.66.214	80,443	KSOWS	80:(403) 已禁止
notify.wps.cn	120.92.59.191	80	KSYUN ELB 1.0.0	80:(404) 未找到
resume.wps.cn	183.61.70.71	80,443	nginx/1.8.0	80:(404) 未找到
mx5.wps.cn	61.136.58.110	-	端口未开放	端口未开放
mx6.wps.cn	219.234.86.115	-	端口未开放	端口未开放
plugins.wps.cn	121.14.11.186	-	端口未开放	端口未开放
preview.wps.cn	120.92.90.83	-	端口未开放	端口未开放
test.pay.wps.cn	123.59.33.175	80,443	openresty/1.11.2.5	80:(404) 未找到
thumbnail.wps.cn	120.92.124.198	80,443	openresty/2.18.5.3	80:(404) 未找到
sucai.wps.cn	183.61.70.162	-	端口未开放	端口未开放
tracker2.wps.cn	120.92.172.235	443	CLOUD ELB 1.0.0	443:(400) 错误的请求
zhishi.wps.cn	120.92.85.209	80,443	CLOUD ELB 1.0.0	80:正常访问
gz.wps.cn	120.132.71.20	80	KSOWS	80:正常访问
qr.wps.cn	120.92.19.6	80,443	ZLB/3.1.85.9	80:正常访问
le.wps.cn	120.92.76.15	80,443	CLOUD ELB 1.0.0	80:正常访问
zt.wps.cn	114.112.66.48	80,443	KSOWS	80:正常访问
ic.wps.cn	117.48.124.214	80		80:正常访问
apf.wps.cn	120.132.77.32	80	nginx/1.8.0	80:(404) 未找到
cnt.wps.cn	120.92.123.248	80,443	CLOUD ELB 1.0.0	80:正常访问
dpr.wps.cn	183.61.80.16	80	Apache-Coyote/1.1	80:(400) 错误的请求
hao.wps.cn	120.92.92.94	80,443	CLOUD ELB 1.0.0	80:正常访问
ifc.wps.cn	183.61.80.16	80	Apache-Coyote/1.1	80:(400) 错误的请求
kae.wps.cn	114.112.66.98	80,443	openresty/1.9.7.4	80:(403) 已禁止
kmo.wps.cn	120.92.4.100	80,443	KSYUN ELB 1.0.0	80:(502) 错误的网关
ics.wps.cn	120.131.14.35	80	-	80:(404) 未找到
pdf.wps.cn	120.92.102.125	80,443		80:正常访问
pfe.wps.cn	123.59.25.205	80,443	nginx/1.10.3	80:(404) 未找到
tpt.wps.cn	114.112.66.98	80,443	openresty/1.9.7.4	80:(403) 已禁止
wyb.wps.cn	120.92.124.216	80,443	nginx	80:正常访问
wwo.wps.cn	120.92.90.141	80	nginx/1.10.3 (Ubuntu)	80:正常访问
mo3.wps.cn	114.112.66.163	-	端口未开放	端口未开放
mo2.wps.cn	183.61.70.149	-	端口未开放	端口未开放
mo4.wps.cn	114.112.66.163	-	端口未开放	端口未开放
mx7.wps.cn	218.30.82.20	-	端口未开放	端口未开放
bmgr.wps.cn	120.92.49.172	80,443	nginx/1.12.2	80:正常访问
bmjr.wps.cn	120.92.209.199	-	端口未开放	端口未开放
cntr.wps.cn	120.92.201.109	80,443	KSYUN ELB 1.0.0	80:(404) 未找到
conv.wps.cn	58.68.236.35	-	端口未开放	端口未开放
cuan.wps.cn	120.92.93.233	80,443	nginx/1.11.10	80:正常访问
emas.wps.cn	120.92.119.3	80,443	CLOUD ELB 1.0.0	80:(403) 已禁止
iaas.wps.cn	120.92.34.69	80,443	CLOUD ELB 1.0.0	80:(403) 已禁止
infp.wps.cn	121.14.11.186	-	端口未开放	端口未开放
ksup.wps.cn	123.59.25.205	80,443	nginx/1.14.0	80:(404) 未找到
pcfg.wps.cn	120.92.58.186,120.92.57.171	80,443	KSYUN ELB 1.0.0	80:(404) 未找到
pns2.wps.cn	219.153.14.72	-	端口未开放	端口未开放
pns3.wps.cn	211.97.117.140	-	端口未开放	端口未开放
pns1.wps.cn	61.152.111.47	-	端口未开放	端口未开放
qdyn.wps.cn	110.43.81.84	80	CLOUD ELB 1.0.0	80:(403) 已禁止
rili.wps.cn	120.92.123.130	80,443	CLOUD ELB 1.0.0	80:正常访问
ufa1.wps.cn	58.68.150.202	-	端口未开放	端口未开放
ufa2.wps.cn	58.68.150.234	-	端口未开放	端口未开放
wedo.wps.cn	120.92.35.37	80,443	CLOUD ELB 1.0.0	80:正常访问
zxjd.wps.cn	183.61.70.155	80	-	80:(503) 服务器不可用
