域名	解析IP	开放端口	WEB服务器	网站状态
m.shop.lenovo.com.cn	163.171.133.124	80,443	wswaf/2.8.0-10.el6	80:正常访问
news.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(403) 已禁止
ai.lenovo.com.cn	47.95.68.57	-	端口未开放	端口未开放
buy.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
log.lenovo.com.cn	124.127.169.190,114.247.140.190	80,443	nginx	80:(404) 未找到
openapi.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
report.lenovo.com.cn	123.57.227.207	80	获取失败	80:-
open.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
hello.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
docs.lenovo.com.cn	125.39.184.62	-	端口未开放	端口未开放
my.lenovo.com.cn	59.110.148.212	80,443		80:正常访问
passport.lenovo.com.cn	223.202.25.14	80,443	nginx	80:正常访问
message.lenovo.com.cn	124.127.169.223,114.247.140.223	-	端口未开放	端口未开放
js.lenovo.com.cn	205.185.216.42,205.185.216.10	80,443	-	80:(403) 已禁止
ip.lenovo.com.cn	39.107.222.167	80,443	-	80:(502) 错误的网关
download3.lenovo.com.cn	123.57.227.207,123.57.205.155	80	nginx/1.7.6	80:正常访问
download2.lenovo.com.cn	124.127.169.204	80	Microsoft-IIS/6.0	80:(403) 已禁止
activity.lenovo.com.cn	163.171.140.176	80,443	-	80:(403) 已禁止
yunpan.lenovo.com.cn	114.113.233.240	80,443	nginx	80:(401) 未经授权
shouji.lenovo.com.cn	43.255.225.247	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
pan.lenovo.com.cn	114.113.233.135	80	nginx	80:正常访问
plus.lenovo.com.cn	59.110.148.212	80,443		80:正常访问
public.lenovo.com.cn	61.147.84.44	80,443	nginx	80:正常访问
sec.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
ad.lenovo.com.cn	39.106.247.28	-	端口未开放	端口未开放
play.lenovo.com.cn	47.95.65.78	443		443:正常访问
dl.lenovo.com.cn	180.101.56.189,180.101.56.190,60.191.248.59,60.191.248.60	80,443	openresty	80:(403) 已禁止
hi.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
admin.lenovo.com.cn	163.171.131.129	80,443	获取失败	80:-
show.lenovo.com.cn	47.94.120.88	443		443:正常访问
tool.lenovo.com.cn	123.57.205.155,123.57.227.207	-	端口未开放	端口未开放
pay.lenovo.com.cn	124.127.169.207,114.247.140.207	443	nginx	443:正常访问
so.lenovo.com.cn	59.110.148.212	80,443		80:正常访问
bd.lenovo.com.cn	60.205.234.210	80,443	-	80:(400) 错误的请求
am.lenovo.com.cn	182.92.244.228	80,443		80:正常访问
b2b.lenovo.com.cn	80.231.126.184,80.231.126.185,80.231.126.181,80.231.126.182,80.231.126.183	80,443	Tengine	80:正常访问
business.lenovo.com.cn	182.92.244.228	80,443		80:正常访问
cs.lenovo.com.cn	43.255.225.247	80,443		80:正常访问
guanjia.lenovo.com.cn	58.222.16.18,117.92.228.18,117.92.228.21,117.92.228.19,117.92.228.16,58.222.16.17,117.92.228.13,117.92.228.17,117.92.228.20,117.92.228.15	80,443	openresty	80:正常访问
education.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
dc.lenovo.com.cn	80.231.126.185,80.231.126.181,80.231.126.182,80.231.126.183,80.231.126.184	80,443	Tengine	80:正常访问
data.lenovo.com.cn	223.202.62.234	-	端口未开放	端口未开放
go.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
k12.lenovo.com.cn	43.255.225.247	80,443	-	80:(403) 已禁止
hub.lenovo.com.cn	10.96.144.26	-	端口未开放	端口未开放
localhost.lenovo.com.cn	127.0.0.1	-	端口未开放	端口未开放
member.lenovo.com.cn	43.255.225.247	80,443	-	80:(403) 已禁止
mt.lenovo.com.cn	117.92.228.15,58.222.16.18,117.92.228.18,117.92.228.21,117.92.228.19,117.92.228.16,58.222.16.17,117.92.228.13,117.92.228.17,117.92.228.20	80,443	openresty	80:(403) 已禁止
ns4.lenovo.com.cn	219.141.216.95	-	端口未开放	端口未开放
ns3.lenovo.com.cn	12.11.224.132	-	端口未开放	端口未开放
ns2.lenovo.com.cn	202.96.27.95	-	端口未开放	端口未开放
mia.lenovo.com.cn	121.199.72.218	80	nginx/1.11.6	80:正常访问
office.lenovo.com.cn	125.39.184.62	-	端口未开放	端口未开放
pt.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
io.lenovo.com.cn	114.113.233.214	443	获取失败	443:-
po.lenovo.com.cn	223.202.212.29	443	nginx/1.10.2	443:正常访问
lt.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
retail.lenovo.com.cn	106.37.234.53,111.205.39.53	80	nginx/1.12.1	80:正常访问
sl.lenovo.com.cn	59.110.148.212	80,443		80:正常访问
solutions.lenovo.com.cn	192.168.0.1	-	端口未开放	端口未开放
switch.lenovo.com.cn	39.106.232.212	443		443:正常访问
store.lenovo.com.cn	210.51.174.219	-	端口未开放	端口未开放
tk.lenovo.com.cn	163.171.140.176	80,443	-	80:(403) 已禁止
hit.lenovo.com.cn	127.0.0.1	-	端口未开放	端口未开放
trade.lenovo.com.cn	43.255.225.247	80,443	-	80:(403) 已禁止
p1.lenovo.com.cn	43.255.225.247	80,443		80:正常访问
raise.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:正常访问
solution.lenovo.com.cn	42.121.0.11	-	端口未开放	端口未开放
cloud.lenovo.com.cn	114.113.233.222	80,443	Apache	80:正常访问
analysis.lenovo.com.cn	0.0.0.0	-	端口未开放	端口未开放
reward.lenovo.com.cn	43.255.225.247	80,443		80:正常访问
standards.lenovo.com.cn	43.255.224.24	-	端口未开放	端口未开放
driver.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
vision.lenovo.com.cn	114.247.140.12,124.127.169.12	-	端口未开放	端口未开放
welfare.lenovo.com.cn	223.202.108.21	-	端口未开放	端口未开放
item.lenovo.com.cn	163.171.140.176	80,443	-	80:(403) 已禁止
talent.lenovo.com.cn	139.217.22.157	80,443	获取失败	80:-
survey.lenovo.com.cn	59.109.111.230,59.109.111.232,59.109.111.228,59.109.111.233,59.109.111.227,59.109.111.231,59.109.111.226,59.109.111.229	-	端口未开放	端口未开放
awareness.lenovo.com.cn	114.113.233.214	443	获取失败	443:-
promotion.lenovo.com.cn	58.220.70.6	80,443	wswaf/2.8.0-10.el6	80:(404) 未找到
10.ad.lenovo.com.cn	39.106.247.28	-	端口未开放	端口未开放
smart.lenovo.com.cn	47.95.71.249	80	-	80:(502) 错误的网关
appdl.lenovo.com.cn	124.200.113.183,124.200.113.182	-	端口未开放	端口未开放
audio.lenovo.com.cn	59.110.148.212	80,443	-	80:(403) 已禁止
b2badmin.lenovo.com.cn	59.110.146.43	80		80:正常访问
authdev.lenovo.com.cn	39.107.212.203	-	端口未开放	端口未开放
cnt.ad.lenovo.com.cn	39.106.247.28	-	端口未开放	端口未开放
daohang.lenovo.com.cn	60.205.234.210	80,443		80:正常访问
coupon.lenovo.com.cn	43.255.225.247	80,443	wswaf/2.8.0-10.el6	80:正常访问
fuli.lenovo.com.cn	118.190.202.130	-	端口未开放	端口未开放
hao123.lenovo.com.cn	123.57.227.207	80	Apache	80:正常访问
huan.lenovo.com.cn	43.255.225.247	80,443	-	80:(403) 已禁止
idata.lenovo.com.cn	124.127.169.230,114.247.140.230	80	Apache-Coyote/1.1	80:(405) 不允许的方法
kuaidi.lenovo.com.cn	124.127.169.134,114.247.140.134	80	nginx	80:正常访问
