域名	解析IP	开放端口	WEB服务器	网站状态
cms1.fuiou.com	116.239.7.125	443	获取失败	443:-
cms2.fuiou.com	116.239.7.126	443	获取失败	443:-
crms.fuiou.com	211.147.68.137	80,443	Apache-Coyote/1.1	80:(404) 未找到
famp.fuiou.com	211.147.68.162	80,443	Apache-Coyote/1.1	80:(404) 未找到
fmap.fuiou.com	211.147.68.183	80,443	nginx	80:(404) 未找到
fqgz.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
fpay.fuiou.com	211.147.68.255	443	Apache-Coyote/1.1	443:正常访问
fsrc.fuiou.com	211.147.68.186	80,443	nginx	80:(403) 已禁止
fycz.fuiou.com	211.147.68.154	-	端口未开放	端口未开放
fzfw.fuiou.com	211.147.68.241	80	nginx	80:正常访问
gztj.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
hfsh.fuiou.com	211.147.68.165	80,443	nginx	80:正常访问
hrcg.fuiou.com	211.147.68.186	80,443	nginx	80:(403) 已禁止
jfzw.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
lccs.fuiou.com	211.147.68.203	-	端口未开放	端口未开放
mpes.fuiou.com	211.147.68.186	80,443	nginx	80:(403) 已禁止
opfp.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
posa.fuiou.com	116.239.4.194	-	端口未开放	端口未开放
qpgs.fuiou.com	211.147.68.145	80,443	Apache-Coyote/1.1	80:(404) 未找到
spay.fuiou.com	211.147.68.163	80,443	nginx	80:(500) 内部服务器错误
suba.fuiou.com	211.147.68.241	80	nginx	80:正常访问
tysh.fuiou.com	211.147.68.197	-	端口未开放	端口未开放
ufly.fuiou.com	211.147.68.196	80	Apache-Coyote/1.1	80:正常访问
uomo.fuiou.com	211.147.68.186	80,443	nginx	80:(404) 未找到
yjdk.fuiou.com	211.147.68.187	80,443	nginx	80:(403) 已禁止
zctg.fuiou.com	211.147.68.167	-	端口未开放	端口未开放
